[2026-07-15 20:07:18.000][INF] The COM:HCCoreBase ver is 6.1.4.15, 2020_03_05. Async:1.
[2026-07-15 20:07:18.000][INF] The COM:Core ver is 6.1.11.5, 2025_12_04. Async:1.
[2026-07-15 20:07:18.000][INF] This HCNetSDK ver is 6.1.11.5 Ver 2025_12_04.
[2026-07-15 20:07:18.001][INF] COM_Login dev 192.168.1.64:8000.
[2026-07-15 20:07:18.001][INF] dwTotalNum[2048]
[2026-07-15 20:07:18.002][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x10000 port=36152
[2026-07-15 20:07:18.002][INF] LogonDev1 in[192.168.1.64:8000]
[2026-07-15 20:07:18.004][ERR] PRO_RecvProData_NewMemory pRecv->uiDvrStatus[1300] is not QULIFIED(1)
[2026-07-15 20:07:18.052][ERR] PRO_RecvProData_NewMemory pRecv->uiDvrStatus[16777315] is not QULIFIED(1)
[2026-07-15 20:07:21.948][DBG] CComBase::Load, Load szDllPath[/home/nvidia/kybot_ws/src/HK/C++demo/consoleDemo/linux64/lib/HCNetSDKCom/libHCPreview.so] SUCC
[2026-07-15 20:07:21.949][INF] AbilityAnalyze---Init-- start
[2026-07-15 20:07:21.954][DBG] AbilityAnalyze---Init-- over, DeviceList path [/home/nvidia/kybot_ws/src/HK/C++demo/consoleDemo/linux64/lib/HCNetSDKCom/LocalXml/DeviceList.xml], load result[0]
[2026-07-15 20:07:21.955][DBG] COM_Preview_GetSDKBuildVersion
[2026-07-15 20:07:21.955][INF] The COM:Preview ver is 6.1.11.5, 2025_12_04.
[2026-07-15 20:07:21.956][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30200 port=48870
[2026-07-15 20:07:22.413][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30200 port=48884
[2026-07-15 20:07:22.481][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30200 port=48886
[2026-07-15 20:07:22.546][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30200 port=48890
[2026-07-15 20:07:23.039][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30200 port=48892
[2026-07-15 20:07:23.560][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30200 port=48908
[2026-07-15 20:07:23.638][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30200 port=48916
[2026-07-15 20:07:23.731][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30200 port=48930
[2026-07-15 20:07:46.106][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=46722
[2026-07-15 20:07:46.814][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=46730
[2026-07-15 20:07:46.882][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=46736
[2026-07-15 20:07:46.950][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=46748
[2026-07-15 20:07:50.187][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=41968
[2026-07-15 20:07:51.079][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=41974
[2026-07-15 20:07:51.146][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=41988
[2026-07-15 20:07:51.214][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=41996
